Id_variante,Id_ubicacion_genomica,Frec_alelica,Significancia_clinica
6981,137,0.38,Significado Incierto
2750,283,0.26,Probablemente Patogénica
9620,291,0.45,Significado Incierto
6231,275,0.07,Patogénica
228,256,0.25,Probablemente Patogénica
2041,209,0.42,Probablemente Patogénica
1593,122,0.44,Probablemente Patogénica
1198,277,0.37,Probablemente Patogénica
4099,122,0.41,Benigna
607,204,0.21,Benigna
6282,147,0.17,Significado Incierto
4577,6,0.37,Probablemente Patogénica
9013,56,0.33,Significado Incierto
7013,260,0.05,Benigna
6086,119,0.07,Significado Incierto
1774,29,0.02,Benigna
8900,195,0.47,Benigna
1499,218,0.31,Benigna
2953,133,0.36,Probablemente Patogénica
3159,205,0.47,Significado Incierto
2544,186,0.45,Patogénica
2266,149,0.15,Probablemente Patogénica
6476,227,0.2,Probablemente Patogénica
110,97,0.27,Significado Incierto
1143,283,0.02,Significado Incierto
619,286,0.37,Significado Incierto
8919,272,0.24,Significado Incierto
27,267,0.42,Significado Incierto
8784,240,0.34,Probablemente Patogénica
1134,299,0.05,Significado Incierto
1753,90,0.39,Patogénica
7068,99,0.26,Benigna
4623,4,0.05,Benigna
9533,129,0.08,Significado Incierto
4363,204,0.49,Significado Incierto
5485,89,0.21,Benigna
3658,277,0.47,Significado Incierto
2541,67,0.13,Significado Incierto
5967,132,0.08,Significado Incierto
3409,92,0.22,Significado Incierto
2148,223,0.25,Significado Incierto
1734,147,0.2,Significado Incierto
3530,141,0.18,Benigna
1020,105,0.06,Benigna
1236,104,0.48,Significado Incierto
1535,155,0.18,Benigna
1616,182,0.44,Significado Incierto
6672,7,0.41,Significado Incierto
5875,1,0.09,Significado Incierto
6968,255,0.21,Significado Incierto
4839,95,0.44,Significado Incierto
5642,258,0.07,Significado Incierto
925,27,0.34,Probablemente Patogénica
5806,25,0.26,Significado Incierto
4254,53,0.23,Patogénica
7085,248,0.04,Significado Incierto
1251,259,0.36,Significado Incierto
6698,194,0.11,Patogénica
4194,229,0.37,Significado Incierto
7591,266,0.21,Significado Incierto
4916,2,0.45,Significado Incierto
5333,128,0.1,Significado Incierto
1333,150,0.04,Benigna
6827,94,0.2,Probablemente Patogénica
8126,129,0.26,Significado Incierto
826,118,0.44,Significado Incierto
6569,242,0.19,Probablemente Patogénica
4076,56,0.03,Probablemente Patogénica
1468,281,0.08,Benigna
5586,135,0.02,Benigna
4847,290,0.34,Patogénica
1057,154,0.26,Patogénica
3979,250,0.27,Significado Incierto
5805,62,0.18,Benigna
2446,204,0.34,Benigna
2022,77,0.22,Benigna
5421,37,0.44,Benigna
9472,281,0.34,Probablemente Patogénica
6270,151,0.44,Significado Incierto
8739,214,0.43,Benigna
1581,57,0.38,Significado Incierto
3216,122,0.19,Benigna
8179,58,0.36,Patogénica
8429,236,0.42,Benigna
5369,300,0.07,Significado Incierto
4861,233,0.48,Significado Incierto
8695,37,0.12,Significado Incierto
8173,289,0.08,Significado Incierto
3174,95,0.11,Patogénica
7112,84,0.43,Patogénica
8058,174,0.35,Significado Incierto
8287,125,0.48,Benigna
6053,236,0.42,Significado Incierto
3031,177,0.4,Probablemente Patogénica
2281,14,0.09,Probablemente Patogénica
1018,195,0.41,Significado Incierto
331,296,0.3,Benigna
1185,3,0.09,Probablemente Patogénica
3140,96,0.44,Probablemente Patogénica
4924,139,0.29,Probablemente Patogénica
4711,224,0.47,Significado Incierto
8683,171,0.33,Benigna
8330,232,0.36,Significado Incierto
8904,36,0.21,Benigna
3036,258,0.36,Benigna
8877,202,0.11,Significado Incierto
3156,178,0.29,Benigna
3767,164,0.3,Probablemente Patogénica
8200,217,0.12,Probablemente Patogénica
9056,263,0.1,Significado Incierto
8067,266,0.21,Patogénica
4201,218,0.45,Probablemente Patogénica
4272,189,0.29,Significado Incierto
7755,78,0.47,Patogénica
6674,183,0.22,Probablemente Patogénica
5432,223,0.29,Patogénica
5842,44,0.14,Probablemente Patogénica
8945,298,0.04,Significado Incierto
7162,118,0.19,Significado Incierto
4848,199,0.42,Significado Incierto
2312,264,0.01,Probablemente Patogénica
9330,298,0.1,Benigna
3279,247,0.22,Significado Incierto
1853,26,0.42,Significado Incierto
8355,153,0.04,Significado Incierto
5744,59,0.48,Significado Incierto
9248,203,0.07,Patogénica
8758,84,0.32,Patogénica
490,250,0.39,Significado Incierto
3490,215,0.36,Patogénica
9704,102,0.11,Significado Incierto
9227,213,0.24,Probablemente Patogénica
589,75,0.05,Probablemente Patogénica
2446,17,0.16,Patogénica
6400,212,0.09,Probablemente Patogénica
8538,210,0.1,Significado Incierto
722,60,0.45,Significado Incierto
273,85,0.23,Benigna
8231,31,0.21,Significado Incierto
8610,287,0.46,Probablemente Patogénica
4300,283,0.4,Benigna
8355,80,0.38,Probablemente Patogénica
2708,263,0.01,Probablemente Patogénica
8666,169,0.22,Significado Incierto
9177,288,0.28,Benigna
4616,256,0.08,Significado Incierto
7444,41,0.01,Benigna
8860,249,0.19,Patogénica
1390,116,0.32,Benigna
6241,40,0.1,Patogénica
1720,80,0.25,Probablemente Patogénica
9774,96,0.38,Patogénica
9557,138,0.02,Benigna
4856,286,0.05,Probablemente Patogénica
9202,255,0.47,Probablemente Patogénica
2117,111,0.29,Significado Incierto
1450,94,0.17,Benigna
1283,209,0.44,Patogénica
2066,150,0.06,Patogénica
242,272,0.36,Significado Incierto
7560,48,0.35,Benigna
7656,137,0.2,Benigna
5268,93,0.07,Benigna
1843,211,0.43,Significado Incierto
2722,113,0.36,Probablemente Patogénica
9493,255,0.49,Probablemente Patogénica
8372,201,0.39,Patogénica
3071,168,0.25,Benigna
3155,25,0.4,Benigna
747,184,0.11,Significado Incierto
3666,278,0.39,Patogénica
938,34,0.19,Benigna
7325,32,0.16,Significado Incierto
5538,16,0.44,Significado Incierto
6934,183,0.08,Significado Incierto
900,22,0.48,Significado Incierto
236,270,0.2,Significado Incierto
2423,45,0.21,Probablemente Patogénica
3732,261,0.05,Benigna
4787,18,0.18,Benigna
4391,294,0.21,Probablemente Patogénica
2569,218,0.19,Probablemente Patogénica
9023,170,0.05,Benigna
1726,23,0.05,Significado Incierto
6675,108,0.4,Benigna
4117,83,0.31,Patogénica
1387,285,0.25,Significado Incierto
959,183,0.4,Significado Incierto
2540,286,0.14,Benigna
2420,261,0.24,Probablemente Patogénica
3975,272,0.27,Benigna
3164,186,0.44,Probablemente Patogénica
4516,31,0.46,Significado Incierto
6841,178,0.34,Significado Incierto
4002,99,0.09,Patogénica
5786,238,0.32,Probablemente Patogénica
4153,168,0.19,Probablemente Patogénica
7893,195,0.37,Patogénica
1256,208,0.01,Patogénica
4899,218,0.33,Significado Incierto
7778,283,0.31,Significado Incierto
4905,264,0.13,Significado Incierto
348,262,0.41,Patogénica
8586,251,0.47,Significado Incierto
2912,58,0.4,Probablemente Patogénica
6400,271,0.12,Benigna
5185,244,0.24,Probablemente Patogénica
3662,160,0.05,Significado Incierto
1919,158,0.23,Probablemente Patogénica
8250,146,0.16,Significado Incierto
7925,78,0.09,Significado Incierto
8672,138,0.29,Significado Incierto
9195,234,0.2,Patogénica
4607,276,0.08,Probablemente Patogénica
6302,38,0.38,Significado Incierto
2419,22,0.43,Benigna
757,136,0.01,Benigna
4450,163,0.3,Significado Incierto
6115,300,0.4,Significado Incierto
2732,5,0.08,Benigna
7714,266,0.07,Benigna
8187,201,0.49,Significado Incierto
5080,213,0.49,Probablemente Patogénica
816,4,0.26,Significado Incierto
530,184,0.1,Significado Incierto
5270,215,0.07,Significado Incierto
8753,204,0.3,Significado Incierto
2772,178,0.28,Patogénica
8222,2,0.31,Significado Incierto
7752,274,0.49,Significado Incierto
7091,31,0.47,Significado Incierto
9135,296,0.11,Benigna
7641,299,0.02,Benigna
1540,154,0.04,Probablemente Patogénica
6044,272,0.16,Significado Incierto
1065,53,0.16,Benigna
5473,204,0.02,Benigna
2758,195,0.34,Benigna
910,198,0.4,Significado Incierto
4745,274,0.2,Significado Incierto
6236,61,0.22,Significado Incierto
415,105,0.33,Significado Incierto
8856,65,0.38,Patogénica
454,245,0.13,Significado Incierto
3734,205,0.33,Probablemente Patogénica
4593,107,0.34,Probablemente Patogénica
6411,76,0.11,Significado Incierto
4041,279,0.34,Significado Incierto
9067,278,0.45,Significado Incierto
7827,189,0.23,Benigna
8097,207,0.41,Significado Incierto
3435,221,0.31,Benigna
1778,42,0.46,Patogénica
4321,7,0.31,Probablemente Patogénica
4919,264,0.34,Benigna
4642,219,0.33,Significado Incierto
1765,75,0.37,Significado Incierto
6967,273,0.46,Significado Incierto
5010,190,0.18,Probablemente Patogénica
3900,298,0.43,Probablemente Patogénica
3023,240,0.21,Patogénica
8263,246,0.49,Benigna
8202,58,0.04,Significado Incierto
1991,215,0.49,Probablemente Patogénica
2904,15,0.24,Benigna
8981,76,0.21,Benigna
8255,89,0.07,Patogénica
1266,13,0.28,Patogénica
8681,218,0.24,Benigna
35,58,0.09,Probablemente Patogénica
6403,38,0.4,Patogénica
4297,248,0.03,Significado Incierto
7104,250,0.38,Benigna
7679,41,0.43,Benigna
9005,190,0.41,Probablemente Patogénica
3163,284,0.33,Probablemente Patogénica
3869,66,0.28,Probablemente Patogénica
487,173,0.5,Benigna
6442,204,0.27,Probablemente Patogénica
4113,26,0.27,Significado Incierto
4578,138,0.08,Significado Incierto
2580,160,0.21,Benigna
1457,111,0.45,Benigna
3546,62,0.4,Probablemente Patogénica
4056,207,0.27,Benigna
4254,184,0.04,Significado Incierto
5578,65,0.45,Benigna
7280,114,0.11,Probablemente Patogénica
1185,47,0.29,Significado Incierto
3178,174,0.43,Significado Incierto
3207,118,0.23,Significado Incierto
7705,42,0.3,Benigna
2584,11,0.43,Significado Incierto
5887,300,0.32,Benigna
3906,244,0.16,Probablemente Patogénica
8484,264,0.28,Significado Incierto
8116,156,0.02,Significado Incierto
3055,189,0.06,Benigna
2801,81,0.21,Significado Incierto
9361,212,0.03,Benigna
7248,291,0.18,Significado Incierto
2912,44,0.03,Significado Incierto
8884,66,0.28,Benigna
5630,9,0.39,Benigna
6339,149,0.34,Significado Incierto
7822,24,0.25,Benigna
8137,96,0.39,Significado Incierto
5815,208,0.24,Significado Incierto
6089,226,0.24,Benigna
750,130,0.41,Benigna
4675,148,0.24,Patogénica
7459,247,0.44,Significado Incierto
1505,249,0.13,Patogénica
4796,65,0.05,Significado Incierto
9464,290,0.02,Significado Incierto
1829,150,0.35,Probablemente Patogénica
1878,252,0.36,Probablemente Patogénica
2436,30,0.47,Benigna
2333,50,0.1,Probablemente Patogénica
9691,117,0.48,Patogénica
8584,189,0.25,Significado Incierto
3372,168,0.26,Significado Incierto
7468,32,0.47,Benigna
9327,143,0.41,Benigna
9304,119,0.29,Significado Incierto
7875,240,0.39,Benigna
4227,249,0.26,Probablemente Patogénica
2714,119,0.48,Significado Incierto
2988,283,0.45,Probablemente Patogénica
8941,250,0.48,Probablemente Patogénica
6577,48,0.33,Probablemente Patogénica
7471,38,0.09,Benigna
1627,157,0.45,Benigna
2195,68,0.12,Benigna
2966,75,0.46,Significado Incierto
2153,209,0.49,Significado Incierto
1789,145,0.38,Benigna
1714,144,0.34,Probablemente Patogénica
1057,147,0.14,Benigna
324,12,0.18,Significado Incierto
2130,106,0.35,Probablemente Patogénica
5694,120,0.36,Significado Incierto
4195,3,0.49,Probablemente Patogénica
3882,190,0.19,Benigna
8345,236,0.1,Benigna
4775,151,0.38,Significado Incierto
9277,295,0.2,Significado Incierto
3931,234,0.13,Significado Incierto
9290,276,0.5,Probablemente Patogénica
1536,62,0.36,Benigna
8087,157,0.38,Significado Incierto
7754,224,0.46,Benigna
7061,202,0.41,Probablemente Patogénica
4166,282,0.35,Probablemente Patogénica
7092,228,0.39,Significado Incierto
4508,130,0.3,Probablemente Patogénica
2824,288,0.35,Significado Incierto
3743,287,0.02,Benigna
2341,130,0.25,Significado Incierto
6458,182,0.21,Significado Incierto
5459,273,0.24,Significado Incierto
2644,273,0.26,Significado Incierto
2059,56,0.21,Probablemente Patogénica
1883,278,0.35,Probablemente Patogénica
3825,190,0.25,Benigna
1464,81,0.2,Patogénica
374,293,0.15,Significado Incierto
6303,249,0.24,Significado Incierto
2228,267,0.2,Significado Incierto
3619,72,0.32,Probablemente Patogénica
8381,207,0.12,Probablemente Patogénica
1981,252,0.13,Patogénica
65,278,0.35,Significado Incierto
1553,204,0.29,Patogénica
5163,118,0.27,Patogénica
7128,273,0.27,Significado Incierto
6689,45,0.42,Benigna
594,5,0.05,Benigna
3582,128,0.39,Significado Incierto
69,149,0.16,Significado Incierto
720,128,0.42,Probablemente Patogénica
5389,236,0.21,Significado Incierto
1400,90,0.23,Benigna
5363,141,0.21,Significado Incierto
2698,130,0.14,Significado Incierto
6762,61,0.06,Probablemente Patogénica
7415,180,0.44,Benigna
4732,271,0.39,Significado Incierto
6737,146,0.27,Probablemente Patogénica
7682,200,0.44,Significado Incierto
5839,215,0.11,Significado Incierto
855,187,0.22,Benigna
8064,241,0.28,Patogénica
3958,24,0.07,Significado Incierto
2362,31,0.37,Benigna
4174,45,0.36,Significado Incierto
5392,59,0.44,Benigna
6218,142,0.36,Benigna
983,203,0.27,Probablemente Patogénica
7414,176,0.08,Significado Incierto
6409,100,0.24,Significado Incierto
5790,171,0.22,Significado Incierto
3166,259,0.46,Benigna
201,281,0.32,Probablemente Patogénica
293,180,0.12,Probablemente Patogénica
3428,113,0.06,Benigna
8678,18,0.27,Probablemente Patogénica
3682,36,0.24,Probablemente Patogénica
3139,164,0.26,Benigna
3570,39,0.03,Significado Incierto
1809,247,0.47,Patogénica
6488,183,0.23,Significado Incierto
2034,121,0.25,Significado Incierto
6347,130,0.2,Probablemente Patogénica
4104,245,0.46,Benigna
5173,157,0.27,Significado Incierto
7060,267,0.45,Significado Incierto
9052,90,0.39,Patogénica
7926,121,0.18,Benigna
5053,105,0.19,Benigna
3223,91,0.45,Benigna
1848,167,0.48,Benigna
417,130,0.49,Probablemente Patogénica
444,103,0.12,Benigna
5240,180,0.33,Significado Incierto
1555,204,0.4,Significado Incierto
9040,35,0.37,Probablemente Patogénica
5364,283,0.29,Benigna
6578,135,0.16,Significado Incierto
6005,15,0.35,Probablemente Patogénica
1482,47,0.34,Significado Incierto
1014,194,0.48,Significado Incierto
5197,7,0.27,Probablemente Patogénica
3180,116,0.08,Benigna
309,163,0.19,Benigna
118,61,0.43,Significado Incierto
5415,280,0.42,Significado Incierto
3772,288,0.06,Benigna
2725,217,0.16,Significado Incierto
9409,272,0.33,Significado Incierto
3251,89,0.19,Benigna
9400,16,0.04,Probablemente Patogénica
4661,143,0.07,Benigna
8484,217,0.11,Significado Incierto
6205,101,0.02,Significado Incierto
6645,176,0.14,Benigna
262,157,0.24,Patogénica
5018,184,0.02,Benigna
6713,18,0.32,Significado Incierto
2556,95,0.18,Significado Incierto
7507,276,0.26,Significado Incierto
2174,65,0.05,Significado Incierto
696,181,0.14,Probablemente Patogénica
1765,153,0.01,Significado Incierto
8595,123,0.14,Significado Incierto
3573,108,0.22,Significado Incierto
1789,256,0.17,Benigna
5753,215,0.38,Probablemente Patogénica
1330,83,0.49,Probablemente Patogénica
84,187,0.07,Probablemente Patogénica
3086,102,0.4,Significado Incierto
8802,53,0.14,Significado Incierto
6497,242,0.06,Patogénica
7158,138,0.29,Benigna
7598,32,0.49,Patogénica
3335,21,0.2,Significado Incierto
5158,287,0.49,Significado Incierto
8812,126,0.18,Probablemente Patogénica
9460,299,0.38,Probablemente Patogénica
8138,178,0.45,Significado Incierto
4377,19,0.45,Significado Incierto
1438,47,0.46,Probablemente Patogénica
5019,45,0.25,Significado Incierto
8851,85,0.22,Significado Incierto
5290,84,0.48,Significado Incierto
6461,251,0.36,Probablemente Patogénica
5321,188,0.22,Benigna
406,17,0.2,Significado Incierto
1115,12,0.38,Patogénica
1608,288,0.28,Significado Incierto
9543,84,0.38,Patogénica
1399,44,0.14,Significado Incierto
1040,181,0.24,Significado Incierto
1096,148,0.1,Significado Incierto
5783,237,0.44,Benigna
6864,149,0.47,Significado Incierto
7157,14,0.12,Significado Incierto
5469,233,0.45,Benigna
4281,29,0.34,Significado Incierto
586,42,0.36,Patogénica
980,18,0.33,Benigna
896,61,0.02,Benigna
1170,193,0.28,Significado Incierto
3784,154,0.15,Benigna
7269,171,0.24,Probablemente Patogénica
7319,91,0.06,Patogénica
4346,298,0.38,Benigna
3055,22,0.37,Significado Incierto
6903,195,0.26,Probablemente Patogénica
2529,191,0.36,Significado Incierto
2975,280,0.39,Benigna
7132,242,0.14,Benigna
6326,28,0.2,Significado Incierto
73,27,0.43,Benigna
4897,108,0.35,Benigna
6033,41,0.41,Significado Incierto
8582,43,0.07,Significado Incierto
1747,105,0.1,Benigna
3745,112,0.34,Significado Incierto
8843,190,0.24,Significado Incierto
9692,46,0.35,Significado Incierto
4416,14,0.24,Significado Incierto
2139,124,0.09,Significado Incierto
7219,228,0.16,Significado Incierto
4533,269,0.18,Significado Incierto
7255,207,0.13,Significado Incierto
7989,213,0.24,Benigna
7379,195,0.33,Significado Incierto
1327,18,0.13,Benigna
5409,254,0.45,Benigna
5528,5,0.06,Significado Incierto
3656,213,0.32,Benigna
9222,70,0.36,Significado Incierto
1378,114,0.41,Significado Incierto
929,195,0.12,Probablemente Patogénica
1758,294,0.1,Significado Incierto
8884,178,0.34,Benigna
101,210,0.09,Benigna
4351,219,0.06,Benigna
7595,244,0.33,Probablemente Patogénica
3291,195,0.47,Significado Incierto
4785,143,0.1,Significado Incierto
